"序号","维度Key","维度","选项Key","选项","当前按钮说明","大模型Prompt"
"1","shotScale","人物景别","extreme-long-shot","大远景","人物极小，环境尺度主导。","人物只占画面很小比例，环境尺度压倒人物，用广阔空间、地平线、建筑或自然景观建立电影海报的宏大感。"
"2","shotScale","人物景别","long-shot","远景","人物完整但环境仍占主导。","呈现完整人物和大面积环境，让人物可辨识但仍被场景包围，强调行动发生的位置和空间关系。"
"3","shotScale","人物景别","full-shot","全景","完整人物与主要环境并重。","完整展示人物全身和主要场景，人物与环境权重接近，适合群像、动作姿态或海报主视觉。"
"4","shotScale","人物景别","medium-full-shot","中全景","人物从膝部或大半身进入画面。","人物从膝部或大半身进入画面，保留服装、姿态和周围环境，兼顾叙事动作与人物气质。"
"5","shotScale","人物景别","medium-shot","中景","人物半身或腰部以上，适合叙事入口。","人物以半身或腰部以上为主，面部、服装和道具清晰，适合作为电影海报的核心叙事入口。"
"6","shotScale","人物景别","medium-close-up","中近景","胸像或肩部以上，强化表情。","人物胸像或肩部以上占据画面，强化表情、眼神和情绪张力，背景只保留关键氛围信息。"
"7","shotScale","人物景别","close-up","近景","脸部和细节主导情绪。","脸部和上半身成为主视觉，突出人物心理、皮肤细节、眼神和光影，背景虚化或压暗。"
"8","shotScale","人物景别","extreme-close-up","特写","局部细节成为主视觉。","聚焦面部局部、眼睛、手部或关键道具，细节极度放大，形成强符号和强情绪冲击。"
"9","characterPosition","人物位置","left","左侧","人物在画面左侧，右侧保留叙事空间。","人物放在画面左侧，右侧保留环境、事件或文字呼吸空间，形成从左向右展开的叙事动线。"
"10","characterPosition","人物位置","right","右侧","人物在画面右侧，左侧形成视觉对照。","人物放在画面右侧，左侧安排场景、光源或对照元素，让人物与环境形成清晰的视觉张力。"
"11","characterPosition","人物位置","top","上方","人物或面部占据上方区域。","人物或面部占据画面上方区域，下方保留事件现场、空间深度或象征性元素，制造俯视和命运压迫感。"
"12","characterPosition","人物位置","bottom","下方","人物位于底部或前景低位。","人物位于画面下方或前景低位，上方留给巨大环境、天空、建筑或威胁物，强化小人物面对大世界的尺度感。"
"13","characterPosition","人物位置","center","中间","人物成为中心视觉锚点。","人物位于画面正中，成为最明确的视觉锚点，周围元素围绕人物组织，形成稳定、直接的电影海报主视觉。"
"14","era","年代","modern","现代","现代都市或现实语境。","年代设定为现代，使用现代都市建筑、汽车、服装、电子设备和现实生活质感，整体贴近成熟商业电影语境。"
"15","era","年代","ancient","古代","古典服饰、建筑和器物。","年代设定为古代，使用传统服饰、木石建筑、宫阙、兵器和手工器物，避免现代科技痕迹。"
"16","era","年代","republic","民国","民国服饰、建筑和旧上海气质。","年代设定为民国，加入旗袍、长衫、西装、旧式街灯、海报招贴和老上海建筑气质，带有胶片怀旧感。"
"17","era","年代","contemporary","当代","当下生活、服化道和空间。","年代设定为当代，服装、空间、手机、车辆和生活细节都符合当前现实世界，保持真实、即时的社会现场感。"
"18","era","年代","1980s","八十年代","八十年代质感、服饰和媒介痕迹。","年代设定为八十年代，使用复古发型、宽肩服装、老式电视、磁带、霓虹招牌和模拟胶片质感。"
"19","era","年代","1990s","九十年代","九十年代影像与街景语汇。","年代设定为九十年代，加入胶片颗粒、旧广告牌、早期电子设备、复古街景和偏粗粝的商业电影质感。"
"20","era","年代","millennium","千禧","Y2K、数码早期和千禧审美。","年代设定为千禧时期，使用 Y2K 数码感、金属材质、早期互联网设备、亮面服饰和世纪交替的未来乐观情绪。"
"21","era","年代","future","未来","科幻未来、技术和未知文明。","年代设定为未来，加入高科技建筑、飞行器、全息界面、未知文明或先进材料，但保持电影级真实可信。"
"22","era","年代","medieval","中世纪","城堡、盔甲、宗教或封建语境。","年代设定为中世纪，使用城堡、盔甲、披风、石墙、火把、宗教符号和封建史诗气质。"
"23","era","年代","rome","罗马","古罗马建筑、服饰和权力结构。","年代设定为古罗马，加入柱廊、竞技场、雕像、长袍、军团甲胄和帝国权力秩序。"
"24","era","年代","warring-states","战国","战国器物、甲胄和历史张力。","年代设定为战国，使用青铜器、甲胄、旌旗、古战场、城墙和诸侯争霸的历史紧张感。"
"25","era","年代","tang","盛唐","盛唐华丽、宫廷和开放气质。","年代设定为盛唐，加入华丽衣冠、宫廷建筑、绮丽纹样、灯会、金色装饰和开放繁盛的东方气象。"
"26","era","年代","wuxia","武侠","江湖、侠客、刀剑和山水。","年代设定为武侠世界，使用侠客服饰、刀剑、客栈、竹林、山水和江湖漂泊感，动作轻盈而有诗意。"
"27","era","年代","xianxia","仙侠","仙门、灵气、法术和东方奇幻。","年代设定为仙侠世界，加入仙门建筑、云海、法阵、灵气光效、飘逸长袍和东方奇幻神话感。"
"28","era","年代","western","西部","荒野、枪手、尘土和边境感。","年代设定为西部边境，使用荒野小镇、牛仔帽、左轮枪、尘土、木屋和黄昏逆光。"
"29","era","年代","industrial","工业","工厂、机械、金属和劳动空间。","年代设定为工业时代或工业社会，加入工厂、烟囱、钢铁结构、机械零件、蒸汽和劳动现场质感。"
"30","era","年代","cold-war","冷战","间谍、核阴影和冷峻政治氛围。","年代设定为冷战时期，使用军事基地、实验室、旧式电话、档案文件、间谍气质和核阴影下的冷峻政治感。"
"31","era","年代","showa","昭和","昭和日本街景、招牌和胶片感。","年代设定为昭和时期，加入日本旧街道、木质店铺、纸灯笼、复古招牌和温柔胶片颗粒。"
