"序号","海报ID","电影标题","年份","导演","类型","海报URL","AI Chat Prompt","AI Draw Prompt","人物景别","人物位置","事件","年代","场景","风格","氛围","色调","构图"
"1","inception","Inception","2010","Christopher Nolan","Action / Sci-Fi","https://image.tmdb.org/t/p/w500/ljsZTbVsrQSqNgAvMoWPI6Pw16s.jpg","一张电影级海报，现代城市街道场景，高楼林立，其中一侧城市向天空垂直折叠，形成不可能的空间结构，超现实建筑，梦境般的城市，画面为广角透视，中心构图，街道中间站着5-6个穿西装的人物，神情严肃，彼此分散站位，前景中央为主角，手持手枪，事件表现为梦境盗取行动中的城市空间崩塌，电影感群像，整体氛围冷色调，蓝绿色为主，轻微雾气，体积光，强对比阴影，光线从街道尽头射入，层次分明，好莱坞大片风格，IMAX质感，超清细节，真实质感，景深，8K，电影灯光。","AI Draw 逆向工程《Inception》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：当代
场景：城市
风格：超现实
氛围：悬疑
色调：冷蓝
构图：对角线构图
事件维度固定留空，由用户自填。","中景","中间","","当代","城市","超现实","悬疑","冷蓝","对角线构图"
"2","the-matrix","The Matrix","1999","Lana Wachowski / Lilly Wachowski","Action / Sci-Fi","https://image.tmdb.org/t/p/w500/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg","一张电影级海报，未来赛博城市与虚拟系统空间场景，黑色背景中下落绿色代码雨，湿冷街道和高楼形成垂直压迫，中心站着一位穿黑色长风衣和墨镜的人物，身后有2-3名反抗者剪影，事件表现为主角觉醒并准备突破虚拟世界，中心对称构图，中景人物，冷绿色与深黑色调，高反差霓虹边缘光，压迫、神秘、反乌托邦氛围，赛博朋克动作片风格，电影灯光，真实皮革质感，超清细节，8K。","AI Draw 逆向工程《The Matrix》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：未来
场景：城市
风格：赛博
氛围：压迫
色调：冷调
构图：中心对称构图
事件维度固定留空，由用户自填。","中景","中间","","未来","城市","赛博","压迫","冷调","中心对称构图"
"3","parasite","Parasite","2019","Bong Joon-ho","Black Comedy / Thriller","https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg","一张电影级海报，当代豪宅庭院与半地下住宅对照场景，修剪整齐的草坪、玻璃建筑和阴影中的贫困空间上下分割，人物为几位家庭成员，分散站在画面中间，眼部被黑色横条遮挡，神情克制而不安，事件表现为两个阶层家庭互相渗透并隐藏秘密，构图为上下分割与冷静群像，写实社会惊悚风格，低饱和冷调色调，阳光表面温和但阴影沉重，压抑、讽刺、危险氛围，清晰建筑线条，电影级质感，细节丰富，8K。","AI Draw 逆向工程《Parasite》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：全景
人物位置：中间
事件：（用户自填）
年代：当代
场景：公寓
风格：写实
氛围：压抑
色调：冷调
构图：上下分割构图
事件维度固定留空，由用户自填。","全景","中间","","当代","公寓","写实","压抑","冷调","上下分割构图"
"4","spirited-away","Spirited Away","2001","Hayao Miyazaki","Fantasy / Animation","https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg","一张电影级海报，动画质感，千禧年代感的异世界浴场与宫殿街道场景，夜幕中灯笼和蒸汽铺满画面，一位少女站在桥上或入口中央，身旁有半透明神灵、白龙剪影和奇异面具角色，事件表现为少女误入神灵世界并寻找回家的路，满版构图，人物中间偏小，被巨大建筑和灯火包围，手绘动漫风格，暖黄色调与深蓝夜色对比，神秘、温暖、冒险氛围，丰富细节，柔和体积光，电影感景深，8K。","AI Draw 逆向工程《Spirited Away》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：全景
人物位置：中间
事件：（用户自填）
年代：千禧
场景：宫廷
风格：动漫
氛围：神秘
色调：暖调
构图：满版型构图
事件维度固定留空，由用户自填。","全景","中间","","千禧","宫廷","动漫","神秘","暖调","满版型构图"
"5","the-godfather","The Godfather","1972","Francis Ford Coppola","Crime / Drama","https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg","一张电影级海报，现代黑帮家族书房或暗色公寓场景，黑色背景中只有顶光照亮一位年长男性的脸和西装领口，人物位于画面中心，近景特写，手部隐约握着权力象征道具，事件表现为家族首领在阴影中做出命运交易，特写面部构图，写实黑帮史诗风格，深黑与暖白低调色调，肃穆、压迫、权力感氛围，大面积留白，强对比阴影，细腻皮肤纹理，电影灯光，8K。","AI Draw 逆向工程《The Godfather》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：近景
人物位置：中间
事件：（用户自填）
年代：现代
场景：公寓
风格：写实
氛围：肃穆
色调：暗调
构图：特写面部构图
事件维度固定留空，由用户自填。","近景","中间","","现代","公寓","写实","肃穆","暗调","特写面部构图"
"6","pulp-fiction","Pulp Fiction","1994","Quentin Tarantino","Crime / Drama","https://image.tmdb.org/t/p/w500/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg","一张电影级海报，九十年代廉价小说封面质感的公寓或旅馆房间场景，暖黄旧纸色背景，一位黑发女性躺在床上或地毯上，手边有香烟、书本和手枪道具，眼神挑衅，事件表现为犯罪故事即将失控的瞬间，三分法构图，中景人物，胶片犯罪风格，胶片颗粒与复古印刷质感，暖黄、红黑阴影色调，诡异、危险、黑色幽默氛围，低机位视角，锐利轮廓光，真实质感，8K。","AI Draw 逆向工程《Pulp Fiction》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：九十年代
场景：公寓
风格：胶片
氛围：诡异
色调：暖黄
构图：三分法构图
事件维度固定留空，由用户自填。","中景","中间","","九十年代","公寓","胶片","诡异","暖黄","三分法构图"
"7","the-dark-knight","The Dark Knight","2008","Christopher Nolan","Action / Crime","https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911BTUgMe1ccAUJ.jpg","一张电影级海报，当代城市夜景和燃烧街区场景，高楼玻璃幕墙在冷蓝夜色中坍塌或冒烟，中心站着一位披黑色披风的孤独英雄剪影，背后远处有火焰形成抽象符号，事件表现为城市陷入犯罪危机而守护者独自面对混乱，中心对称构图，中景人物，写实超级英雄犯罪史诗风格，冷蓝色调配橙色火光，高压、压迫、悲壮氛围，强对比阴影，雨雾，电影灯光，IMAX质感，8K。","AI Draw 逆向工程《The Dark Knight》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：当代
场景：城市
风格：写实
氛围：压迫
色调：冷蓝
构图：中心对称构图
事件维度固定留空，由用户自填。","中景","中间","","当代","城市","写实","压迫","冷蓝","中心对称构图"
"8","la-la-land","La La Land","2016","Damien Chazelle","Musical / Romance","https://image.tmdb.org/t/p/w500/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg","一张电影级海报，当代洛杉矶山顶街道或夜色观景台场景，远处城市灯海和紫蓝天空铺开，一男一女在画面中央跳舞，动作舒展，像舞台剪影，事件表现为两位追梦者在城市夜晚坠入浪漫歌舞瞬间，对角线构图，全景人物，写实歌舞爱情片风格，蓝紫色调配暖黄路灯，浪漫、轻盈、怀旧氛围，柔和聚光，细腻颗粒，清晰天际线，电影灯光，8K。","AI Draw 逆向工程《La La Land》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：全景
人物位置：中间
事件：（用户自填）
年代：当代
场景：城市
风格：写实
氛围：浪漫
色调：蓝调
构图：对角线构图
事件维度固定留空，由用户自填。","全景","中间","","当代","城市","写实","浪漫","蓝调","对角线构图"
"9","mad-max-fury-road","Mad Max: Fury Road","2015","George Miller","Action / Adventure","https://image.tmdb.org/t/p/w500/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg","一张电影级海报，未来末日沙漠战场场景，橙色沙尘暴覆盖天空，改装战车从地平线冲出，中心人物穿破旧战斗服站在车队前方，身旁有光头女战士和幸存者剪影，事件表现为末日车队高速追逐与荒漠逃亡，满版构图，中景群像，写实动作大片风格，青橙强对比色调，热血、狂暴、危险氛围，爆炸火光，飞扬尘土，金属机械细节，强烈动势，IMAX质感，8K。","AI Draw 逆向工程《Mad Max: Fury Road》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：中间
事件：（用户自填）
年代：未来
场景：沙漠
风格：写实
氛围：热血
色调：青橙
构图：满版型构图
事件维度固定留空，由用户自填。","中景","中间","","未来","沙漠","写实","热血","青橙","满版型构图"
"10","arrival","Arrival","2016","Denis Villeneuve","Drama / Sci-Fi","https://image.tmdb.org/t/p/w500/x2FJsf1ElAgr63Y3PNPtJrcmpoe.jpg","一张电影级海报，未来草原与雾气山谷场景，巨大的黑色椭圆外星飞行物垂直悬停在地平线上，低空有直升机和小型车队，一位女性语言学家和一名男性科学家站在前景右侧，军人位于下方，事件表现为人类第一次接触未知文明，左右分割构图，中景人物，超现实极简科幻风格，青橙与冷灰色调，压迫、静默、神秘氛围，厚重云层，体积雾，逆光轮廓，真实质感，8K，电影灯光。","AI Draw 逆向工程《Arrival》海报，只提取用户选择的维度，不默认套用整张海报。
人物景别：中景
人物位置：下方
事件：（用户自填）
年代：未来
场景：草原
风格：超现实
氛围：压迫
色调：青橙
构图：左右分割构图
事件维度固定留空，由用户自填。","中景","下方","","未来","草原","超现实","压迫","青橙","左右分割构图"
